trans_id,lang,translation
1008/1010,AR,1008/1010
1008/1010,HE,1008/1010
1008/1010,EN,1008/1010
1008/1011,EN,1008/1011
1008/1011,AR,1008/1011
1008/1011,HE,1008/1011
1010/1190,HE,1010/1190
1010/1190,AR,1010/1190
1010/1190,EN,1010/1190
1019/אל פאח'ורה,EN,Al Fakhura/1019
1019/אל פאח'ורה,HE,1019/אל פאח'ורה
1019/אל פאח'ורה,AR,الفاخورة / 1019
10297,AR,10297
10297,EN,10297
10297,HE,10297
105/100,EN,105/100
105/100,HE,105/100
105/100,AR,105/100
1054/1066,AR,1054/1066
1054/1066,EN,1054/1066
1054/1066,HE,1054/1066
115/216,HE,115/216
115/216,AR,115/216
115/216,EN,115/216
130/121,AR,130/121
130/121,EN,130/121
130/121,HE,130/121
186,AR,186
186,HE,186
186,EN,186
191,AR,191
191,HE,191
191,EN,191
2 אום טובא,EN,Umm Tuba 2
2 אום טובא,HE,2 אום טובא
2 אום טובא,AR,أم طوبا 2
200/206,HE,200/206
200/206,EN,200/206
200/206,AR,200/206
200/225,AR,200/225
200/225,EN,200/225
200/225,HE,200/225
200/240,AR,200/240
200/240,EN,200/240
200/240,HE,200/240
200/ארכ'בישוף אל חג'אר,AR,أرخبيشوف الحجّار/ 200
200/ארכ'בישוף אל חג'אר,EN,Archibishop Al Hajar/200
200/ארכ'בישוף אל חג'אר,HE,200/ארכ'בישוף אל חג'אר
200/כמאל ג'ונבלאט,HE,200/כמאל ג'ונבלאט
200/כמאל ג'ונבלאט,AR,كمال جنبلاط /200
200/כמאל ג'ונבלאט,EN,Kamal Jumblatt/200
200/עומר א סעסעני,EN,Omar Asasaani/200
200/עומר א סעסעני,HE,200/עומר א סעסעני
200/עומר א סעסעני,AR,عمر السعسعاني / 200
201/203,AR,201/203
201/203,EN,201/203
201/203,HE,201/203
201/221,AR,201/221
201/221,HE,201/221
201/221,EN,201/221
201/418,EN,201/418
201/418,AR,201/418
201/418,HE,201/418
201/609,EN,201/609
201/609,HE,201/609
201/609,AR,201/609
210/212,AR,210/212
210/212,EN,210/212
210/212,HE,210/212
225 בית עלמין,HE,225 בית עלמין
225 בית עלמין,AR,مقبرة 225
225 בית עלמין,EN,Bet Almin 225
225/200,HE,225/200
225/200,EN,225/200
225/200,AR,225/200
230,EN,230
230,HE,230
230,AR,230
230/225,HE,230/225
230/225,EN,230/225
230/225,AR,230/225
240/260,EN,240/260
240/260,HE,240/260
240/260,AR,240/260
248/240,HE,248/240
248/240,EN,248/240
248/240,AR,248/240
250/251,AR,250/251
250/251,HE,250/251
250/251,EN,250/251
250/260,EN,250/260
250/260,HE,250/260
250/260,AR,250/260
256/250,EN,256/250
256/250,AR,256/250
256/250,HE,256/250
293/2932,AR,293/2932
293/2932,EN,293/2932
293/2932,HE,293/2932
3 שכונת בזבז,AR,حي بزبز 3
3 שכונת בזבז,EN,Schunat Bazbaz 3
3 שכונת בזבז,HE,3 שכונת בזבז
3001/דרך הציונות,AR,ديريخ هتسيونوت/3001
3001/דרך הציונות,EN,Derech Hatsionut/3001
3001/דרך הציונות,HE,3001/דרך הציונות
3002/3006,AR,3002/3006
3002/3006,EN,3002/3006
3002/3006,HE,3002/3006
3003/3008,AR,3003/3008
3003/3008,EN,3003/3008
3003/3008,HE,3003/3008
3008/3009,HE,3008/3009
3008/3009,EN,3008/3009
3008/3009,AR,3008/3009
3008/3100,EN,3008/3100
3008/3100,HE,3008/3100
3008/3100,AR,3008/3100
301/303,HE,301/303
301/303,AR,301/303
301/303,EN,301/303
301/305,AR,301/305
301/305,HE,301/305
301/305,EN,301/305
301/313,EN,301/313
301/313,HE,301/313
301/313,AR,301/313
301/323,EN,301/333
301/323,HE,301/323
301/323,AR,301/333
301/333,AR,301/333
301/333,EN,301/333
301/333,HE,301/333
301/501,HE,301/501
301/501,AR,301/501
301/501,EN,301/501
301/503,HE,301/503
301/503,AR,301/503
301/503,EN,301/503
301/506,AR,301/506
301/506,EN,301/506
301/506,HE,301/506
3013/ח'אלת א דיר,AR,خَلّة الدّير/3013
3013/ח'אלת א דיר,EN,Khirbat al-Dayr/3013
3013/ח'אלת א דיר,HE,3013/ח'אלת א דיר
3024/חלת אלדיר,EN,Halat Aldir/3024
3024/חלת אלדיר,HE,3024/חלת אלדיר
3024/חלת אלדיר,AR,خلة الدير/3024
313/ג'בור יוסף ג'בור,HE,313/ג'בור יוסף ג'בור
313/ג'בור יוסף ג'בור,EN,Jabur Yusuf Jabur/313
313/ג'בור יוסף ג'בור,AR,جبور يوسف جبور/313
37,EN,37
37,AR,37
37,HE,37
3985/דיור מוגן מעון הרופא,EN,Maon HaRofeh Protected Housing/3985
3985/דיור מוגן מעון הרופא,AR,سكن محمي معون هروفيه/3985
3985/דיור מוגן מעון הרופא,HE,3985/דיור מוגן מעון הרופא
4000/6008,EN,4000/6008
4000/6008,HE,4000/6008
4000/6008,AR,4000/6008
402/300,AR,402/300
402/300,HE,402/300
402/300,EN,402/300
411/416,AR,411/416
411/416,HE,411/416
411/416,EN,411/416
421,HE,421
421,AR,421
421,EN,421
421/300,AR,421/300
421/300,EN,421/300
421/300,HE,421/300
425/411,AR,425/411
425/411,HE,425/411
425/411,EN,425/411
440/317,HE,440/317
440/317,AR,440/317
440/317,EN,440/317
444/שדרות עמק איילון,HE,444/שדרות עמק איילון
444/שדרות עמק איילון,AR,سديروت عيميك أيالون/444
444/שדרות עמק איילון,EN,Emeq Ayalon BLVD/444
500/כמאל ג'ונבלאט,EN,Kamal Jumblatt/500
500/כמאל ג'ונבלאט,AR,كمال جنبلاط /500
500/כמאל ג'ונבלאט,HE,500/כמאל ג'ונבלאט
5005/5007,HE,5005/5007
5005/5007,AR,5005/5007
5005/5007,EN,5005/5007
5005/5129,EN,5005/5129
5005/5129,HE,5005/5129
5005/5129,AR,5005/5129
5021/5026,EN,5021/5026
5021/5026,HE,5021/5026
5021/5026,AR,5021/5026
5022/5026,EN,5022/5026
5022/5026,AR,5022/5026
5022/5026,HE,5022/5026
5026/5029,HE,5026/5029
5026/5029,EN,5026/5029
5026/5029,AR,5026/5029
5026/5032,AR,5026/5032
5026/5032,HE,5026/5032
5026/5032,EN,5026/5032
5026/5039,HE,5026/5039
5026/5039,AR,5026/5039
5026/5039,EN,5026/5039
5029/5026,HE,5029/5026
5029/5026,EN,5029/5026
5029/5026,AR,5029/5026
5055/5048,AR,5055/5048
5055/5048,EN,5055/5048
5055/5048,HE,5055/5048
506/507,AR,506/507
506/507,EN,506/507
506/507,HE,506/507
5070/5068,AR,5070/5068
5070/5068,HE,5070/5068
5070/5068,EN,5070/5068
5070/5075,AR,5070/5075
5070/5075,EN,5070/5075
5070/5075,HE,5070/5075
5070/5077,EN,5070/5077
5070/5077,HE,5070/5077
5070/5077,AR,5070/5077
5070/5090,EN,5070/5090
5070/5090,AR,5070/5090
5070/5090,HE,5070/5090
5070/5097,HE,5070/5097
5070/5097,AR,5070/5097
5070/5097,EN,5070/5097
5070/אל ואדי אל ג'וואני,HE,5070/אל ואדי אל ג'וואני
5070/אל ואדי אל ג'וואני,EN,Al Wadi Al Jawani/5070
5070/אל ואדי אל ג'וואני,AR,الوادي الجواني/ 5070
5099/5104,HE,5099/5104
5099/5104,EN,5099/5104
5099/5104,AR,5099/5104
5104/5099,AR,5104/5099
5104/5099,EN,5104/5099
5104/5099,HE,5104/5099
5104/5100,EN,5104/5100
5104/5100,HE,5104/5100
5104/5100,AR,5104/5100
5104/5109,EN,5104/5109
5104/5109,HE,5104/5109
5104/5109,AR,5104/5109
5104/אום קובי,AR,أم كوبي/5104
5104/אום קובי,HE,5104/אום קובי
5104/אום קובי,EN,Umm Kubi/5104
5105/5112,HE,5105/5112
5105/5112,EN,5105/5112
5105/5112,AR,5105/5112
5119/300,AR,5119/300
5119/300,EN,5119/300
5119/300,HE,5119/300
514/515,EN,514/515
514/515,AR,514/515
514/515,HE,514/515
553/מרכז מסחרי,AR,مركز تجاري /553
553/מרכז מסחרי,EN,Commercial Center/553
553/מרכז מסחרי,HE,553/מרכז מסחרי
5614/שדרות הזיתים,EN,Hazetim BLVD/5614
5614/שדרות הזיתים,AR,سديروت هزيتيم/5614
5614/שדרות הזיתים,HE,5614/שדרות הזיתים
562/שדרות הדקלים,EN,HaDkalim BLVD/562
562/שדרות הדקלים,AR,سديروت هدكاليم/562
562/שדרות הדקלים,HE,562/שדרות הדקלים
5710/דרך הפיקוסים,EN,Derech Hafikussim/5710
5710/דרך הפיקוסים,HE,5710/דרך הפיקוסים
5710/דרך הפיקוסים,AR,ديريخ هَبيكوسيم/5710
5720/דרך הים,EN,Derech HaYam/5720
5720/דרך הים,HE,5720/דרך הים
5720/דרך הים,AR,ديريخ هَيام/5720
6/471,HE,6/471
6/471,EN,6/471
6/471,AR,6/471
601/605,HE,601/605
601/605,EN,601/605
601/605,AR,601/605
609/616,AR,609/616
609/616,HE,609/616
609/616,EN,609/616
65/6524,EN,65/6524
65/6524,AR,65/6524
65/6524,HE,65/6524
651/אילת,EN,Eilat/651
651/אילת,AR,إيلات/651
651/אילת,HE,651/אילת
651/השיטה,AR,هَشِتا/651
651/השיטה,HE,651/השיטה
651/השיטה,EN,Hashita/651
651/חלמיש,AR,حَلميش/651
651/חלמיש,EN,Halamish/651
651/חלמיש,HE,651/חלמיש
652/דרך אהרון,HE,652/דרך אהרון
652/דרך אהרון,AR,ديريخ أهرون/652
652/דרך אהרון,EN,Derech Aharon/652
653/דרך רגבים,EN,Derech Regavim/653
653/דרך רגבים,AR,ديريخ رِجفيم/653
653/דרך רגבים,HE,653/דרך רגבים
70/115,EN,70/115
70/115,HE,70/115
70/115,AR,70/115
7001/7061,EN,7001/7061
7001/7061,AR,7001/7061
7001/7061,HE,7001/7061
7003/רואוס אל ג'יבאל,AR,رؤوس الجبال/7003
7003/רואוס אל ג'יבאל,EN,Rouos al Gibal/7003
7003/רואוס אל ג'יבאל,HE,7003/רואוס אל ג'יבאל
7012/7015,HE,7012/7015
7012/7015,EN,7012/7015
7012/7015,AR,7012/7015
7012/7083,HE,7012/7083
7012/7083,AR,7012/7083
7012/7083,EN,7012/7083
7012/עומר אבן אל ח'טאב,HE,7012/עומר אבן אל ח'טאב
7012/עומר אבן אל ח'טאב,EN,Omar Ibn Al-Khattab/7012
7012/עומר אבן אל ח'טאב,AR,عمر بن الخطاب/7012
7017/7106,HE,7017/7106
7017/7106,AR,7017/7106
7017/7106,EN,7017/7106
7018/7106,HE,7018/7106
7018/7106,EN,7018/7106
7018/7106,AR,7018/7106
704,EN,704
704,HE,704
704,AR,704
7040/עומר אבן אל ח'טאב,AR,عمر بن الخطاب/7040
7040/עומר אבן אל ח'טאב,HE,7040/עומר אבן אל ח'טאב
7040/עומר אבן אל ח'טאב,EN,Omar Ibn Al-Khattab/7040
7042/7040,EN,7042/7040
7042/7040,AR,7042/7040
7042/7040,HE,7042/7040
7045/7040,HE,7045/7040
7045/7040,EN,7045/7040
7045/7040,AR,7045/7040
7059/7061,EN,7059/7061
7059/7061,AR,7059/7061
7059/7061,HE,7059/7061
7061/7074,HE,7061/7074
7061/7074,AR,7061/7074
7061/7074,EN,7061/7074
7063/7061,EN,7063/7061
7063/7061,AR,7063/7061
7063/7061,HE,7063/7061
7064/7086,HE,7064/7086
7064/7086,AR,7064/7086
7064/7086,EN,7064/7086
7086/7064,HE,7086/7064
7086/7064,AR,7086/7064
7086/7064,EN,7086/7064
7090/עומר אבן אל ח'טאב,EN,Omar Ibn Al-Khattab/7090
7090/עומר אבן אל ח'טאב,HE,7090/עומר אבן אל ח'טאב
7090/עומר אבן אל ח'טאב,AR,عمر بن الخطاب/7090
8 אום טובא,HE,8 אום טובא
8 אום טובא,AR,أم طوبا 8
8 אום טובא,EN,Umm Tuba/8
8015/1029,HE,8015/1029
8015/1029,AR,8015/1029
8015/1029,EN,8015/1029
8015/8013,EN,8015/8013
8015/8013,AR,8015/8013
8015/8013,HE,8015/8013
85/8566,EN,85/8566
85/8566,AR,85/8566
85/8566,HE,85/8566
864/8655,AR,8655 /864
864/8655,EN,864/8655
864/8655,HE,864/8655
8900/הגליל,EN,HaGalil/8900
8900/הגליל,AR,الجليل/8900
8900/הגליל,HE,8900/הגליל
90/תל חי,AR,تل حاي/90
90/תל חי,EN,Tel Hai/90
90/תל חי,HE,90/תל חי
9004/5026,EN,9004/5026
9004/5026,AR,9004/5026
9004/5026,HE,9004/5026
911,HE,911
911,EN,911
911,AR,911
912,EN,912
912,AR,912
912,HE,912
913,HE,913
913,EN,913
913,AR,913
914,HE,914
914,EN,914
914,AR,914
924,HE,924
924,AR,924
924,EN,924
9779/918,EN,9779/918
9779/918,HE,9779/918
9779/918,AR,9779/918
978/98,EN,978/98
978/98,AR,978 /98
978/98,HE,978/98
988,AR,988
988,EN,988
988,HE,988
996,HE,996
996,AR,996
996,EN,996
א זהרא/אבן ח'לדון,EN,A Zahara/Ibn Haldoun
א זהרא/אבן ח'לדון,AR,الزهراء/إبن خلدون
א זהרא/אבן ח'לדון,HE,א זהרא/אבן ח'לדון
א זהרא/טארק עבד אל חי,HE,א זהרא/טארק עבד אל חי
א זהרא/טארק עבד אל חי,EN,A Zahara/Tariq Abd al-Hai
א זהרא/טארק עבד אל חי,AR,الزهراء/طارق عبد الحي
א נהדה/א זיתון,AR,النهضة/الزيتون
א נהדה/א זיתון,HE,א נהדה/א זיתון
א נהדה/א זיתון,EN,A Nahada/A Zeitun
א ס לוי/טייטלבאום,EN,A Sa Levi/Teitlebaum
א ס לוי/טייטלבאום,AR,أس ليڤي/تايتلباوم
א ס לוי/טייטלבאום,HE,א ס לוי/טייטלבאום
א ס לוי/שדרות בן גוריון,EN,A Sa Levi/Sderot Ben Gurion
א ס לוי/שדרות בן גוריון,AR,أس ليڤي/سديروت بن غوريون
א ס לוי/שדרות בן גוריון,HE,א ס לוי/שדרות בן גוריון
א סאפה-אל בוטמה,AR,الصفا - البطمة
א סאפה-אל בוטמה,HE,א סאפה-אל בוטמה
א סאפה-אל בוטמה,EN,A Saffa Al Butma
א סולטאני/א נור,EN,A Sultani/A Nur
א סולטאני/א נור,HE,א סולטאני/א נור
א סולטאני/א נור,AR,السلطاني/النّور
א סולטאני/אל בוראק,AR,السلطاني/ البراق
א סולטאני/אל בוראק,HE,א סולטאני/אל בוראק
א סולטאני/אל בוראק,EN,Asultani/Al Buraq
א סולטאני/סלאח א דין,EN,A Sultani/Salah a Din
א סולטאני/סלאח א דין,HE,א סולטאני/סלאח א דין
א סולטאני/סלאח א דין,AR,السلطاني/صلاح الدين
א סולטאני/עבד אל כרים קאסם,AR,السلطاني/عبد الكريم قاسم
א סולטאני/עבד אל כרים קאסם,HE,א סולטאני/עבד אל כרים קאסם
א סולטאני/עבד אל כרים קאסם,EN,A Sultani/Abd el Karim Kasem
א סולטאני/עומר בן אל ח'טאב,EN,A Sultani/Omar Bin Al-Khattab
א סולטאני/עומר בן אל ח'טאב,HE,א סולטאני/עומר בן אל ח'טאב
א סולטאני/עומר בן אל ח'טאב,AR,السلطاني/عمر بن الخطاب
א קודס אגבריה,HE,א קודס אגבריה
א קודס אגבריה,AR,القدس إغبارية
א קודס אגבריה,EN,A Quds Agabariya
א קודס/אל ביר,AR,القدس/البير
א קודס/אל ביר,EN,A Quds/El Bir
א קודס/אל ביר,HE,א קודס/אל ביר
א קודס/אל ח'נדק,AR,القدس / الخندق
א קודס/אל ח'נדק,HE,א קודס/אל ח'נדק
א קודס/אל ח'נדק,EN,A Quds/Alh'ndk
א קודס/אל מדינה,EN,A Quds/El Medina
א קודס/אל מדינה,HE,א קודס/אל מדינה
א קודס/אל מדינה,AR,القدس/ألمدينة
א שאפי/חובז'ן,EN,Ashafi/Hovzin
א שאפי/חובז'ן,AR,الشافي/ حَبزان
א שאפי/חובז'ן,HE,א שאפי/חובז'ן
א שייח' אמין טריף/341,HE,א שייח' אמין טריף/341
א שייח' אמין טריף/341,EN,A Sheikh Amin Tarif/341
א שייח' אמין טריף/341,AR,الشيخ أمين طريف/ 341
א שייח' אמין טריף/411,HE,א שייח' אמין טריף/411
א שייח' אמין טריף/411,EN,A Sheikh Amin Tarif/411
א שייח' אמין טריף/411,AR,الشيخ امين طريف/ 411
א שייח' אמין טריף/רחוב 341,HE,א שייח' אמין טריף/רחוב 341
א שייח' אמין טריף/רחוב 341,AR,الشيخ أمين طريف/شارع 341
א שייח' אמין טריף/רחוב 341,EN,Sheikh Amin Tarif/341 Street
א שייח' אמין טריף/רחוב 411,HE,א שייח' אמין טריף/רחוב 411
א שייח' אמין טריף/רחוב 411,EN,Sheikh Amin Tarif/411 Street
א שייח' אמין טריף/רחוב 411,AR,الشيخ امين طريف/ شارع411
א"ח 120,HE,א"ח 120
א"ח 120,EN,Ah 120
א"ח 120,AR,أ"ح 120
א"ח 347,AR,أ"ح حوشي 347
א"ח 347,EN,Ah 347
א"ח 347,HE,א"ח 347
א"ס ביתר/א"ס הפועל,HE,א"ס ביתר/א"ס הפועל
א"ס ביתר/א"ס הפועל,EN,Betar Sports Club/HaPoel Sports Club
א"ס ביתר/א"ס הפועל,AR,أ"س بيتار/أ"س هبوعيل
א. אלח'טאב/אלביאדר המזרחי,HE,א. אלח'טאב/אלביאדר המזרחי
א. אלח'טאב/אלביאדר המזרחי,AR,إ. الخطاب/ البيادر الشرقي
א. אלח'טאב/אלביאדר המזרחי,EN,U. Al-Khattab/Albeydar East
א.ד. גורדון/בבל,EN,A. D. Gordon/Bavel
א.ד. גורדון/בבל,AR,أ.د. جوردون/بابل
א.ד. גורדון/בבל,HE,א.ד. גורדון/בבל
א.ד. גורדון/בן גוריון,AR,أ.د. جوردون/بن غوريون
א.ד. גורדון/בן גוריון,EN,A. D. Gordon/Ben Gurion
א.ד. גורדון/בן גוריון,HE,א.ד. גורדון/בן גוריון
א.ד. גורדון/הבנים,EN,A. D. Gordon/Habanim
א.ד. גורדון/הבנים,HE,א.ד. גורדון/הבנים
א.ד. גורדון/הבנים,AR,أ.د. جوردون/هَبَنيم
א.ד. גורדון/השלום,HE,א.ד. גורדון/השלום
א.ד. גורדון/השלום,EN,A. D. Gordon/Hashalom
א.ד. גורדון/השלום,AR,أ.د. جوردون/هَشلوم
א.ד. גורדון/יעקב רבינוביץ,EN,A. D. Gordon/Yaacov Rabinovitch
א.ד. גורדון/יעקב רבינוביץ,HE,א.ד. גורדון/יעקב רבינוביץ
א.ד. גורדון/יעקב רבינוביץ,AR,أ.د. جوردون/يعكوڤ رابينوفيتش
א.ד. גורדון/ירושלים,AR,أ.د. جوردون/يروشلايم
א.ד. גורדון/ירושלים,HE,א.ד. גורדון/ירושלים
א.ד. גורדון/ירושלים,EN,A. D. Gordon/Jerusalem
א.ד. גורדון/עמיצור אברהם,AR,أ.د. جوردون/عميتسور أفراهام
א.ד. גורדון/עמיצור אברהם,EN,A. D. Gordon/Amitsur Shapira
א.ד. גורדון/עמיצור אברהם,HE,א.ד. גורדון/עמיצור אברהם
א.ד.גורדון/חזון אי"ש,EN,A.D. Gordon/Hazon Ish
א.ד.גורדון/חזון אי"ש,HE,א.ד.גורדון/חזון אי"ש
א.ד.גורדון/חזון אי"ש,AR,أ.د. جوردون/حَزون إيش
א.ה.סילבר/נורדאו,AR,أ.ه. سيلفر/نوردو
א.ה.סילבר/נורדאו,HE,א.ה.סילבר/נורדאו
א.ה.סילבר/נורדאו,EN,A. H. Silver/Nordau
א.ל. זיסו/הר שומרון,HE,א.ל. זיסו/הר שומרון
א.ל. זיסו/הר שומרון,EN,A.L. Zisso/Mt. Shomron
א.ל. זיסו/הר שומרון,AR,أ. ل. زيسو/هار شومرون
א.ס לוי/טווינה,EN,A. S. Levy/Twena
א.ס לוי/טווינה,AR,أ.س ليفي/توينا
א.ס לוי/טווינה,HE,א.ס לוי/טווינה
א.ס לוי/מבצע יהונתן,EN,A. S. Levy/Operation Yehonathan
א.ס לוי/מבצע יהונתן,AR,أ.س ليفي/مڤتساع يهونتان
א.ס לוי/מבצע יהונתן,HE,א.ס לוי/מבצע יהונתן
א.ס לוי/סעדיה מרדכי,EN,A. S. Levy/Sa'adia Mordehai
א.ס לוי/סעדיה מרדכי,AR,أ.س ليفي/سَعادْيا مُردُخاي
א.ס לוי/סעדיה מרדכי,HE,א.ס לוי/סעדיה מרדכי
א.ס. לוי/טייטלבאום,AR,أ. س. ليڤي/تايتلباوم
א.ס. לוי/טייטלבאום,EN,A.S. Levi/Teitlebaum
א.ס. לוי/טייטלבאום,HE,א.ס. לוי/טייטלבאום
א.ת גדרה/כביש 3922,EN,Hadera Industrial Zone/3922
א.ת גדרה/כביש 3922,AR,منطقة صناعية جديرا/طريق 3922
א.ת גדרה/כביש 3922,HE,א.ת גדרה/כביש 3922
א.ת. עטרות,HE,א.ת. עטרות
א.ת. עטרות,EN,Atarot Industrial Zone
א.ת. עטרות,AR,المنطقة الصناعية عطروت
א.ת. עטרות/מפעלות,AR,المنطقة الصناعية عطروت/مِفعلوت
א.ת. עטרות/מפעלות,HE,א.ת. עטרות/מפעלות
א.ת. עטרות/מפעלות,EN,Atarot Industrial Zone/Mifalot
אב/תשרי,EN,Av/Tishri
אב/תשרי,AR,آب/تِشري
אב/תשרי,HE,אב/תשרי
אבא אבן/ משכית,EN,Abba Eban/Maskit
אבא אבן/ משכית,HE,אבא אבן/ משכית
אבא אבן/ משכית,AR,أبا إيڤن/مَشخيت
אבא אחימאיר / ארתור רופין,EN,Abba Ahimeir/Arthur Rupin
אבא אחימאיר / ארתור רופין,AR,أبا أحيمئير/أرتور روفين
אבא אחימאיר / ארתור רופין,HE,אבא אחימאיר / ארתור רופין
אבא אחימאיר/אליהו בית צורי,AR,أبا أحيمئير/إلياهو بيت تسوري
אבא אחימאיר/אליהו בית צורי,EN,Abba Ahimeir/Eliyahu Bet Zouri
אבא אחימאיר/אליהו בית צורי,HE,אבא אחימאיר/אליהו בית צורי
אבא אחימאיר/בר כוכבא,EN,Abba Ahimeir/Bar Kohva
אבא אחימאיר/בר כוכבא,HE,אבא אחימאיר/בר כוכבא
אבא אחימאיר/בר כוכבא,AR,أبا أحيمئير/بار كوخْفا
אבא אחימאיר/דרך מצדה,AR,أبا أحيمئير/ديريخ مِتْسَدا
אבא אחימאיר/דרך מצדה,HE,אבא אחימאיר/דרך מצדה
אבא אחימאיר/דרך מצדה,EN,Abba Ahimeir/Derech Massada
אבא אחימאיר/הרב מרדכי שרעבי,EN,Abba Ahimeir/Rabbi Mordechai Sharaabi
אבא אחימאיר/הרב מרדכי שרעבי,HE,אבא אחימאיר/הרב מרדכי שרעבי
אבא אחימאיר/הרב מרדכי שרעבי,AR,أبا أحيمئير/هَراب مردخاي شَرعابي
אבא אחימאיר/שאול המלך,EN,Abba Ahimeir/Shaul Hamelech
אבא אחימאיר/שאול המלך,AR,أبا أحيمئير/ شاؤول هميلخ
אבא אחימאיר/שאול המלך,HE,אבא אחימאיר/שאול המלך
אבא אחימאיר/שדרות רוטשילד,AR,أبا أحيمئير/سديروت روتشيلد
אבא אחימאיר/שדרות רוטשילד,EN,Abba Ahimeir/Rothschild BLVD
אבא אחימאיר/שדרות רוטשילד,HE,אבא אחימאיר/שדרות רוטשילד
אבא אחימאיר/שטרן,EN,Abba Ahimeir/Schtern
אבא אחימאיר/שטרן,HE,אבא אחימאיר/שטרן
אבא אחימאיר/שטרן,AR,أبا أحيمئير/شتيرن
אבא אחימאיר/שלמה בן יוסף,AR,أبا أحيمئير/شلومو بن يوسف
אבא אחימאיר/שלמה בן יוסף,EN,Abba Ahimeir/Shlomo Ben Yosef
אבא אחימאיר/שלמה בן יוסף,HE,אבא אחימאיר/שלמה בן יוסף
אבא אחימאיר/שמואל תמיר,AR,أبا أحيمئير/شموئيل تمير
אבא אחימאיר/שמואל תמיר,HE,אבא אחימאיר/שמואל תמיר
אבא אחימאיר/שמואל תמיר,EN,Abba Ahimeir/Shmuel Tamir
אבא הלל 126,AR,أبا هليل 126
אבא הלל 126,HE,אבא הלל 126
אבא הלל 126,EN,Abba Hilel 126
אבא הלל סילבר/העמלים,HE,אבא הלל סילבר/העמלים
אבא הלל סילבר/העמלים,AR,أبا هليل سيلفر/هَعمَليم
אבא הלל סילבר/העמלים,EN,Abba Hillel Silver/Ha'amelim
אבא הלל סילבר/יודפת,EN,Abba Hillel Silver/Yodfat
אבא הלל סילבר/יודפת,AR,أبا هليل سيلفر/يودْفات
אבא הלל סילבר/יודפת,HE,אבא הלל סילבר/יודפת
אבא הלל סילבר/מקס נורדאו,AR,أبا هليل سيلفر/ماكس نوردو
אבא הלל סילבר/מקס נורדאו,EN,Abba Hillel Silver/Max Nordau
אבא הלל סילבר/מקס נורדאו,HE,אבא הלל סילבר/מקס נורדאו
אבא הלל סילבר/נדא,AR,أبا هليل سيلفر/ندا
אבא הלל סילבר/נדא,HE,אבא הלל סילבר/נדא
אבא הלל סילבר/נדא,EN,Abba Hillel Silver/Nada
אבא הלל סילבר/פסח לב,AR,أبا هليل سيلفر/بِيسَح لِيف
אבא הלל סילבר/פסח לב,HE,אבא הלל סילבר/פסח לב
אבא הלל סילבר/פסח לב,EN,Abba Hillel Silver/Pessah Lev
אבא חושי/איינשטיין,EN,Abba Hushi/Einstein
אבא חושי/איינשטיין,AR,أبا حوشي / أينشتاين
אבא חושי/איינשטיין,HE,אבא חושי/איינשטיין
